,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
155,21/09/2022 20:29:10055400,,397.476,36.356,389.424,208.132,254.227.715,110,65535,65535
156,21/09/2022 20:29:11007000,,397.476,36.478,389.912,208.132,252.376.275,111,65535,65535
157,21/09/2022 20:29:12021000,,397.476,36.356,389.668,208.376,255.153.435,112,65535,65535
158,21/09/2022 20:29:13003800,,397.476,36.356,389.668,208.132,255.153.435,111,65535,65535
159,21/09/2022 20:29:14017800,,397.964,363.804,389.912,208.132,256.079.155,113,65535,65535
160,21/09/2022 20:29:15016200,,397.476,36.356,389.912,208.376,254.227.715,111,65535,65535
161,21/09/2022 20:29:15999000,,396.744,362.096,389.668,20.862,254.227.715,112,65535,65535
162,21/09/2022 20:29:17013000,,396.988,36.356,389.912,208.132,254.227.715,110,65535,65535
163,21/09/2022 20:29:17980200,,397.476,362.584,389.912,208.132,254.227.715,111,65535,65535
164,21/09/2022 20:29:19025400,,396.988,361.852,389.424,208.132,255.153.435,108,65535,65535
165,21/09/2022 20:29:20008200,,396.744,363.072,389.912,208.132,254.227.715,108,65535,65535
166,21/09/2022 20:29:21022200,,396.256,364.292,389.668,207.888,251.450.555,108,65535,65535
167,21/09/2022 20:29:22020600,,396.012,363.316,389.668,208.132,252.376.275,111,65535,65535
168,21/09/2022 20:29:23019000,,396.012,36.356,389.912,208.132,255.153.435,111,65535,65535
169,21/09/2022 20:29:24017400,,396.256,362.584,389.912,208.132,254.227.715,111,65535,65535
170,21/09/2022 20:29:25062600,,396.256,363.072,389.912,208.132,254.227.715,110,65535,65535
171,21/09/2022 20:29:26014200,,396.988,362.096,389.912,209.352,252.376.275,111,65535,65535
172,21/09/2022 20:29:27012600,,397.476,361.364,389.912,208.376,254.227.715,112,65535,65535
173,21/09/2022 20:29:28011000,,397.964,362.096,389.668,208.376,251.450.555,110,65535,65535
174,21/09/2022 20:29:29009400,,397.476,362.584,389.912,20.862,255.153.435,111,65535,65535
175,21/09/2022 20:29:30007800,,397.476,363.072,389.668,208.376,254.227.715,112,65535,65535
176,21/09/2022 20:29:31006200,,398.452,363.316,389.912,208.132,254.227.715,112,65535,65535
177,21/09/2022 20:29:32004600,,398.452,36.478,390.156,208.132,251.450.555,112,65535,65535
178,21/09/2022 20:29:33018600,,398.452,365.756,390.888,208.132,252.376.275,112,65535,65535
179,21/09/2022 20:29:34017000,,398.452,365.024,390.888,20.74,257.004.875,112,65535,65535
180,21/09/2022 20:29:35015400,,398.208,363.072,390.888,208.132,251.450.555,113,65535,65535
181,21/09/2022 20:29:41973000,,398.452,365.512,391.132,208.376,251.450.555,111,65535,65535
182,21/09/2022 20:29:43002600,,398.452,36.478,390.644,20.862,251.450.555,111,65535,65535
183,21/09/2022 20:29:44001000,,398.452,36.478,391.376,20.862,249.599.115,111,65535,65535
184,21/09/2022 20:29:44999400,,398.696,36.478,391.132,209.108,246.821.955,112,65535,65535
185,21/09/2022 20:29:46013400,,399.672,36.478,391.132,209.108,249.599.115,111,65535,65535
186,21/09/2022 20:29:46996200,,399.672,364.536,391.132,208.132,250.524.835,111,65535,65535
187,21/09/2022 20:29:47994600,,399.184,365.512,391.132,208.132,249.599.115,112,65535,65535
188,21/09/2022 20:29:49008600,,399.672,365.512,391.376,208.132,249.599.115,113,65535,65535
189,21/09/2022 20:29:50007000,,400.404,366.488,391.132,208.132,246.821.955,113,65535,65535
190,21/09/2022 20:29:51005400,,399.916,365.512,391.132,208.132,250.524.835,111,65535,65535
191,21/09/2022 20:29:52003800,,399.428,36.478,391.132,20.862,252.376.275,112,65535,65535
192,21/09/2022 20:29:52971000,,399.428,363.072,393.084,208.376,246.821.955,110,65535,65535
193,21/09/2022 20:29:53985000,,399.184,36.356,391.376,207.888,249.599.115,108,65535,65535
