,Data,T1,T2,T3,T4,F1,F2,Empty1,Empty2
1108,26/09/2022 21:02:11996200,38.4056,34.1112,36.8928,20.252,236.639035,166,65535,65535
1109,26/09/2022 21:02:12963400,38.4056,33.9892,37.0148,20.3252,237.564755,167,65535,65535
1110,26/09/2022 21:02:13961800,38.4056,34.2332,37.0148,20.2276,237.564755,167,65535,65535
1111,26/09/2022 21:02:14960200,38.3812,34.1844,37.0636,20.2764,235.713315,166,65535,65535
1112,26/09/2022 21:02:15958600,38.43,34.1112,37.0636,20.2276,237.564755,166,65535,65535
1113,26/09/2022 21:02:16957000,38.3324,34.4528,36.9904,20.1544,235.713315,166,65535,65535
1114,26/09/2022 21:02:17971000,38.4056,34.4772,37.0148,20.2276,236.639035,167,65535,65535
1115,26/09/2022 21:02:18969400,38.5032,34.2332,37.0636,20.2276,235.713315,171,65535,65535
1116,26/09/2022 21:02:19967800,38.43,34.2088,37.0148,20.3252,236.639035,167,65535,65535
1117,26/09/2022 21:02:20966200,38.43,34.3064,37.0636,20.3252,233.861875,166,65535,65535
1118,26/09/2022 21:02:21964600,38.4056,34.4528,37.0636,20.13,235.713315,167,65535,65535
1119,26/09/2022 21:02:22963000,38.3812,34.4528,37.0148,20.2276,236.639035,166,65535,65535
1120,26/09/2022 21:02:23961400,38.4056,34.404,37.0148,20.2276,235.713315,166,65535,65535
1121,26/09/2022 21:02:24975400,38.4056,34.4284,37.0148,20.252,236.639035,166,65535,65535
1122,26/09/2022 21:02:25973800,38.3324,34.4772,37.0148,20.2276,235.713315,166,65535,65535
1123,26/09/2022 21:02:26987800,38.5032,34.4528,37.0148,20.3252,237.564755,163,65535,65535
1124,26/09/2022 21:02:27970600,38.5032,34.4284,37.0148,20.3252,236.639035,167,65535,65535
1125,26/09/2022 21:02:28984600,38.4544,34.3308,37.0148,20.3252,237.564755,167,65535,65535
1126,26/09/2022 21:02:29951800,38.4056,34.1844,37.0148,20.3252,237.564755,167,65535,65535
1127,26/09/2022 21:02:30965800,38.5276,34.1112,37.0148,20.2276,240.341915,167,65535,65535
1128,26/09/2022 21:02:31964200,38.5032,34.16,37.1368,20.2276,236.639035,167,65535,65535
1129,26/09/2022 21:02:32962600,38.4544,34.3552,37.1368,20.2276,236.639035,165,65535,65535
1130,26/09/2022 21:02:33961000,38.5032,34.2332,37.1368,20.2276,235.713315,167,65535,65535
1131,26/09/2022 21:02:34975000,38.5276,34.2332,37.1368,20.2032,236.639035,167,65535,65535
1132,26/09/2022 21:02:35973400,38.4544,34.1112,37.1368,20.2764,233.861875,167,65535,65535
1133,26/09/2022 21:02:36971800,38.5276,34.404,37.1124,20.3252,232.010435,166,65535,65535
1134,26/09/2022 21:02:37970200,38.5764,34.3064,37.1124,20.2276,233.861875,162,65535,65535
1135,26/09/2022 21:02:38968600,38.5032,34.2332,37.1124,20.3252,235.713315,166,65535,65535
1136,26/09/2022 21:02:45988600,38.5276,35.1604,37.1368,20.13,20.946275,168,65535,65535
1137,26/09/2022 21:02:47018200,38.552,35.2824,36.9904,20.1544,15.391955,168,65535,65535
1138,26/09/2022 21:02:48016600,38.552,34.892,36.844,20.2032,14.466235,167,65535,65535
1139,26/09/2022 21:02:49015000,38.5276,34.8432,36.8684,20.2276,11.689075,167,65535,65535
1140,26/09/2022 21:02:50029000,38.5276,34.892,36.6244,20.1544,9.837635,166,65535,65535
1141,26/09/2022 21:02:51027400,38.5032,34.77,36.3804,20.2276,7.986195,165,65535,65535
1142,26/09/2022 21:02:52025800,38.5276,34.5748,36.1608,20.2032,10.763355,165,65535,65535
1143,26/09/2022 21:02:53024200,38.5276,34.4528,35.99,20.252,7.060475,165,65535,65535
1144,26/09/2022 21:02:54022600,38.5032,34.4284,35.6728,20.2276,7.986195,165,65535,65535
1145,26/09/2022 21:02:55005400,38.552,34.4772,35.5752,20.2276,9.837635,165,65535,65535
1146,26/09/2022 21:02:56019400,38.5032,34.4772,35.2336,20.13,9.837635,166,65535,65535
1147,26/09/2022 21:02:57017800,38.5032,34.4528,34.9408,20.2032,11.689075,166,65535,65535
1148,26/09/2022 21:02:58016200,38.5032,34.526,34.7456,20.2276,11.689075,167,65535,65535
1149,26/09/2022 21:02:59030200,38.5032,34.4284,34.404,20.252,11.689075,167,65535,65535
1150,26/09/2022 21:03:00028600,38.5276,34.4528,34.1356,20.2276,11.689075,168,65535,65535
1151,26/09/2022 21:03:01027000,38.5032,34.2332,33.8916,20.252,10.763355,166,65535,65535
1152,26/09/2022 21:03:02009800,38.5032,34.3064,33.6476,20.1544,9.837635,166,65535,65535
1153,26/09/2022 21:03:03008200,38.5032,34.1112,33.306,20.1544,10.763355,165,65535,65535
1154,26/09/2022 21:03:04006600,38.5276,33.8916,33.0864,20.2276,9.837635,165,65535,65535
1155,26/09/2022 21:03:05020600,38.4544,33.7208,32.7448,20.2032,7.986195,166,65535,65535
1156,26/09/2022 21:03:06019000,38.3324,33.5744,32.4032,20.2032,7.986195,165,65535,65535
1157,26/09/2022 21:03:07033000,38.3812,33.3304,32.1592,20.2032,7.060475,165,65535,65535
1158,26/09/2022 21:03:08031400,38.3812,32.9888,31.9396,20.2032,7.986195,167,65535,65535
1159,26/09/2022 21:03:09014200,38.43,32.9156,31.6468,20.1544,7.986195,167,65535,65535
1160,26/09/2022 21:03:10012600,38.43,32.6716,31.4272,20.13,9.837635,167,65535,65535
1161,26/09/2022 21:03:11011000,38.4056,32.4032,31.11,20.2276,7.060475,167,65535,65535
1162,26/09/2022 21:03:12009400,38.3324,32.2812,30.988,20.2032,10.763355,166,65535,65535
1163,26/09/2022 21:03:13007800,38.43,31.9396,30.6464,20.2032,9.837635,166,65535,65535
1164,26/09/2022 21:03:14021800,38.308,31.6224,30.4756,20.2032,10.763355,167,65535,65535
1165,26/09/2022 21:03:15035800,38.2104,31.2808,30.1096,20.1544,10.763355,170,65535,65535
1166,26/09/2022 21:03:16034200,38.308,30.988,29.89,20.1544,9.837635,171,65535,65535
1167,26/09/2022 21:03:17032600,38.308,30.7928,29.6704,20.2276,9.837635,170,65535,65535
1168,26/09/2022 21:03:18015400,38.308,30.5244,29.4508,20.2032,9.837635,168,65535,65535
1169,26/09/2022 21:03:19013800,38.308,30.3048,29.2068,20.1544,9.837635,170,65535,65535
1170,26/09/2022 21:03:20012200,38.2104,30.012,29.036,20.2032,7.060475,167,65535,65535
1171,26/09/2022 21:03:21010600,38.2836,29.7192,28.8408,20.1544,7.986195,167,65535,65535
1172,26/09/2022 21:03:22040200,38.186,29.3776,28.6944,20.2032,7.986195,166,65535,65535
1173,26/09/2022 21:03:23023000,38.186,29.1824,28.4748,20.2032,9.837635,166,65535,65535
1174,26/09/2022 21:03:24021400,38.2104,28.8896,28.3284,20.2032,7.060475,163,65535,65535
1175,26/09/2022 21:03:25019800,38.2104,28.67,28.1332,20.2276,9.837635,163,65535,65535
1176,26/09/2022 21:03:26018200,38.2592,28.4016,27.8648,20.13,9.837635,163,65535,65535
1177,26/09/2022 21:03:27016600,38.2592,28.1088,27.6452,20.2276,9.837635,163,65535,65535
1178,26/09/2022 21:03:28015000,38.186,27.8404,27.5232,20.1544,9.837635,165,65535,65535
1179,26/09/2022 21:03:29013400,38.186,27.7916,27.3768,20.2032,9.837635,166,65535,65535
1180,26/09/2022 21:03:30027400,38.186,27.4256,27.206,20.2276,7.060475,168,65535,65535
1181,26/09/2022 21:03:31025800,38.186,27.2304,27.084,20.2032,10.763355,170,65535,65535
1182,26/09/2022 21:03:32024200,38.186,27.0596,26.9132,20.2276,9.837635,167,65535,65535
1183,26/09/2022 21:03:33038200,38.186,26.7668,26.6936,20.13,9.837635,167,65535,65535
1184,26/09/2022 21:03:34021000,38.186,26.6936,26.6692,20.008,7.986195,167,65535,65535
1185,26/09/2022 21:03:35019400,38.186,26.3032,26.474,20.252,7.986195,166,65535,65535
1186,26/09/2022 21:03:36002200,38.186,26.23,26.2544,20.1056,6.134755,166,65535,65535
1187,26/09/2022 21:03:37000600,38.064,26.0104,26.2544,20.2032,9.837635,165,65535,65535
1188,26/09/2022 21:03:38030200,38.0152,25.7908,26.0104,20.2276,7.986195,167,65535,65535
