,Data,,T1,T2,T3,T4,F1,F2,Empty1,Empty2
150,21/09/2022 20:29:05016600,,"39,5036","36,356","38,9424","20,8132","257,004875",111,65535,65535
151,21/09/2022 20:29:06061800,,"39,4792","36,356","38,9668","20,8132","256,079155",111,65535,65535
152,21/09/2022 20:29:07013400,,"39,5524","36,3316","38,9668","20,8132","258,856315",112,65535,65535
153,21/09/2022 20:29:08058600,,"39,6988","36,3804","38,9668","20,8132","257,004875",111,65535,65535
154,21/09/2022 20:29:09010200,,"39,6988","36,3072","38,9424","20,7888","252,376275",111,65535,65535
155,21/09/2022 20:29:10055400,,"39,7476","36,356","38,9424","20,8132","254,227715",110,65535,65535
156,21/09/2022 20:29:11007000,,"39,7476","36,478","38,9912","20,8132","252,376275",111,65535,65535
157,21/09/2022 20:29:12021000,,"39,7476","36,356","38,9668","20,8376","255,153435",112,65535,65535
158,21/09/2022 20:29:13003800,,"39,7476","36,356","38,9668","20,8132","255,153435",111,65535,65535
159,21/09/2022 20:29:14017800,,"39,7964","36,3804","38,9912","20,8132","256,079155",113,65535,65535
160,21/09/2022 20:29:15016200,,"39,7476","36,356","38,9912","20,8376","254,227715",111,65535,65535
161,21/09/2022 20:29:15999000,,"39,6744","36,2096","38,9668","20,862","254,227715",112,65535,65535
162,21/09/2022 20:29:17013000,,"39,6988","36,356","38,9912","20,8132","254,227715",110,65535,65535
163,21/09/2022 20:29:17980200,,"39,7476","36,2584","38,9912","20,8132","254,227715",111,65535,65535
164,21/09/2022 20:29:19025400,,"39,6988","36,1852","38,9424","20,8132","255,153435",108,65535,65535
165,21/09/2022 20:29:20008200,,"39,6744","36,3072","38,9912","20,8132","254,227715",108,65535,65535
166,21/09/2022 20:29:21022200,,"39,6256","36,4292","38,9668","20,7888","251,450555",108,65535,65535
167,21/09/2022 20:29:22020600,,"39,6012","36,3316","38,9668","20,8132","252,376275",111,65535,65535
168,21/09/2022 20:29:23019000,,"39,6012","36,356","38,9912","20,8132","255,153435",111,65535,65535
169,21/09/2022 20:29:24017400,,"39,6256","36,2584","38,9912","20,8132","254,227715",111,65535,65535
170,21/09/2022 20:29:25062600,,"39,6256","36,3072","38,9912","20,8132","254,227715",110,65535,65535
171,21/09/2022 20:29:26014200,,"39,6988","36,2096","38,9912","20,9352","252,376275",111,65535,65535
172,21/09/2022 20:29:27012600,,"39,7476","36,1364","38,9912","20,8376","254,227715",112,65535,65535
173,21/09/2022 20:29:28011000,,"39,7964","36,2096","38,9668","20,8376","251,450555",110,65535,65535
174,21/09/2022 20:29:29009400,,"39,7476","36,2584","38,9912","20,862","255,153435",111,65535,65535
175,21/09/2022 20:29:30007800,,"39,7476","36,3072","38,9668","20,8376","254,227715",112,65535,65535
176,21/09/2022 20:29:31006200,,"39,8452","36,3316","38,9912","20,8132","254,227715",112,65535,65535
177,21/09/2022 20:29:32004600,,"39,8452","36,478","39,0156","20,8132","251,450555",112,65535,65535
178,21/09/2022 20:29:33018600,,"39,8452","36,5756","39,0888","20,8132","252,376275",112,65535,65535
179,21/09/2022 20:29:34017000,,"39,8452","36,5024","39,0888","20,74","257,004875",112,65535,65535
180,21/09/2022 20:29:35015400,,"39,8208","36,3072","39,0888","20,8132","251,450555",113,65535,65535
181,21/09/2022 20:29:41973000,,"39,8452","36,5512","39,1132","20,8376","251,450555",111,65535,65535
182,21/09/2022 20:29:43002600,,"39,8452","36,478","39,0644","20,862","251,450555",111,65535,65535
183,21/09/2022 20:29:44001000,,"39,8452","36,478","39,1376","20,862","249,599115",111,65535,65535
184,21/09/2022 20:29:44999400,,"39,8696","36,478","39,1132","20,9108","246,821955",112,65535,65535
185,21/09/2022 20:29:46013400,,"39,9672","36,478","39,1132","20,9108","249,599115",111,65535,65535
186,21/09/2022 20:29:46996200,,"39,9672","36,4536","39,1132","20,8132","250,524835",111,65535,65535
187,21/09/2022 20:29:47994600,,"39,9184","36,5512","39,1132","20,8132","249,599115",112,65535,65535
188,21/09/2022 20:29:49008600,,"39,9672","36,5512","39,1376","20,8132","249,599115",113,65535,65535
189,21/09/2022 20:29:50007000,,"40,0404","36,6488","39,1132","20,8132","246,821955",113,65535,65535
190,21/09/2022 20:29:51005400,,"39,9916","36,5512","39,1132","20,8132","250,524835",111,65535,65535
191,21/09/2022 20:29:52003800,,"39,9428","36,478","39,1132","20,862","252,376275",112,65535,65535
192,21/09/2022 20:29:52971000,,"39,9428","36,3072","39,3084","20,8376","246,821955",110,65535,65535
193,21/09/2022 20:29:53985000,,"39,9184","36,356","39,1376","20,7888","249,599115",108,65535,65535
194,21/09/2022 20:29:54999000,,"39,7476","36,478","39,2352","20,8132","249,599115",107,65535,65535
195,21/09/2022 20:29:55997400,,"39,8452","36,6","39,1376","20,8132","249,599115",111,65535,65535
196,21/09/2022 20:29:56995800,,"39,8452","36,6732","39,3084","20,8132","250,524835",110,65535,65535
197,21/09/2022 20:29:57994200,,"39,8452","36,8196","39,3084","20,8132","250,524835",108,65535,65535
198,21/09/2022 20:30:04795800,,"40,0404","36,6","39,1376","20,9108","250,524835",108,65535,65535
199,21/09/2022 20:30:05809800,,"40,0648","36,5512","39,3084","20,862","249,599115",110,65535,65535
200,21/09/2022 20:30:06839400,,"40,0404","36,3804","39,1376","20,862","244,970515",108,65535,65535
201,21/09/2022 20:30:07822200,,"40,1136","36,5512","39,2596","20,862","247,747675",110,65535,65535
202,21/09/2022 20:30:08820600,,"40,1136","36,5512","39,2596","20,8376","245,896235",112,65535,65535
203,21/09/2022 20:30:09803400,,"40,1868","36,3316","39,2596","20,8132","245,896235",112,65535,65535
204,21/09/2022 20:30:10801800,,"40,1624","36,3316","39,2352","20,8132","244,970515",112,65535,65535
205,21/09/2022 20:30:11800200,,"40,1136","36,3316","39,1376","20,8132","243,119075",113,65535,65535
206,21/09/2022 20:30:12814200,,"40,1624","36,6488","39,2596","20,8132","243,119075",115,65535,65535
207,21/09/2022 20:30:13812600,,"40,2112","36,6","39,2596","20,7888","243,119075",112,65535,65535
208,21/09/2022 20:30:14795400,,"40,1624","36,4536","39,2596","20,8132","244,970515",111,65535,65535
209,21/09/2022 20:30:15809400,,"40,1136","36,356","39,3328","20,862","245,896235",110,65535,65535
210,21/09/2022 20:30:16807800,,"40,1868","36,3804","39,3328","20,8376","245,896235",107,65535,65535
211,21/09/2022 20:30:17806200,,"40,0892","36,6976","39,3084","20,862","245,896235",111,65535,65535
212,21/09/2022 20:30:18804600,,"40,1624","36,6976","39,2596","20,9108","244,970515",112,65535,65535
213,21/09/2022 20:30:19818600,,"40,1624","36,5512","39,3328","20,8132","246,821955",111,65535,65535
214,21/09/2022 20:30:20817000,,"40,1624","36,6488","39,3328","20,7888","244,970515",111,65535,65535
215,21/09/2022 20:30:21815400,,"40,2112","36,5512","39,3328","20,8132","245,896235",111,65535,65535
216,21/09/2022 20:30:22813800,,"40,1136","36,5756","39,3328","20,8132","245,896235",111,65535,65535
217,21/09/2022 20:30:23781000,,"40,1868","36,5512","39,3328","20,8376","246,821955",113,65535,65535
218,21/09/2022 20:30:24810600,,"40,1624","36,5756","39,3328","20,862","244,970515",112,65535,65535
219,21/09/2022 20:30:25809000,,"40,1624","36,6976","39,3084","20,8376","245,896235",111,65535,65535
220,21/09/2022 20:30:26823000,,"40,0892","36,6976","39,4304","20,7888","245,896235",111,65535,65535
221,21/09/2022 20:30:27805800,,"40,1624","36,6732","39,4304","20,8132","246,821955",107,65535,65535
222,21/09/2022 20:30:28804200,,"40,1868","36,722","39,4548","20,8132","245,896235",110,65535,65535
223,21/09/2022 20:30:29818200,,"40,1136","36,6976","39,4548","20,8132","243,119075",111,65535,65535
224,21/09/2022 20:30:30816600,,"40,1136","36,6976","39,3328","20,8132","244,970515",111,65535,65535
225,21/09/2022 20:30:31815000,,"40,0892","36,6488","39,3328","20,9108","245,896235",110,65535,65535
